Gene ID,Gene Name,Score(d),Numerator(r),Denominator(s+s0),FoldChange,q-value(%),PEP,Log10FoldChange,AbsLog10FoldChange
INVS,INVS,4206,-3.538,-3523,995.853,0.728,0,FALSE,-0.137868620686963,0.137868620686963
DHX38,DHX38,2366,-3.537,-3522,995.853,0.746,0,FALSE,-0.127261172527331,0.127261172527331
RPS6,RPS6,7544,-3.535,-3520,995.853,0.657,0,FALSE,-0.182434630440219,0.182434630440219
TRIM22,TRIM22,9384,-3.534,-3519,995.853,0.585,0,FALSE,-0.23284413391782,0.23284413391782
PHLDA1,PHLDA1,6364,-3.533,-3518,995.853,0.487,0,FALSE,-0.312471038785366,0.312471038785366
CEP120,CEP120,1614,-3.532,-3517,995.853,0.698,0,FALSE,-0.156144577376839,0.156144577376839
GAS7,GAS7,3416,-3.531,-3516,995.853,0.491,0,FALSE,-0.308918507877032,0.308918507877032
ZNF596,ZNF596,10353,-3.529,-3514,995.853,0.611,0,FALSE,-0.213958789757446,0.213958789757446
MUC15,MUC15,5426,-3.528,-3513,995.853,0.144,0,FALSE,-0.84163750790475,0.84163750790475
CAPS2,CAPS2,1256,-3.527,-3512,995.853,0.501,0,FALSE,-0.300162274132754,0.300162274132754
GABBR1,GABBR1,3369,-3.526,-3511,995.853,0.565,0,FALSE,-0.247951552180562,0.247951552180562
CLU,CLU,1806,-3.525,-3510,995.853,0.411,0,FALSE,-0.386158178123931,0.386158178123931
HIC2,HIC2,3872,-3.523,-3508,995.853,0.703,0,FALSE,-0.153044674980176,0.153044674980176
ADCY3,ADCY3,200,-3.521,-3506,995.853,0.627,0,TRUE,-0.202732459169284,0.202732459169284
SLC38A3,SLC38A3,8154,-3.521,-3506,995.853,0.323,0,FALSE,-0.490797477668897,0.490797477668897
SLCO4A1,SLCO4A1,8232,-3.52,-3505,995.853,0.379,0,FALSE,-0.421360790031928,0.421360790031928
GNG12,GNG12,3579,-3.516,-3501,995.853,0.612,0,FALSE,-0.213248577854439,0.213248577854439
PER3,PER3,6283,-3.515,-3500,995.853,0.54,0,FALSE,-0.267606240177031,0.267606240177031
CAMK2G,CAMK2G,1232,-3.512,-3497,995.853,0.809,0,FALSE,-0.0920514783877277,0.0920514783877277
TTYH2,TTYH2,9544,-3.512,-3497,995.853,0.603,0,FALSE,-0.219682687859849,0.219682687859849
FBXO42,FBXO42,3141,-3.511,-3496,995.853,0.833,0,FALSE,-0.0793549985932124,0.0793549985932124
PPP3CB,PPP3CB,6743,-3.511,-3496,995.853,0.726,0,FALSE,-0.139063379299906,0.139063379299906
RNF185,RNF185,7430,-3.51,-3495,995.853,0.807,0,FALSE,-0.0931264652779296,0.0931264652779296
ZBTB20,ZBTB20,10073,-3.509,-3494.5,995.853,0.454,0,FALSE,-0.342944147142896,0.342944147142896
CAND2,CAND2,1241,-3.509,-3494,995.853,0.48,0,FALSE,-0.318758762624413,0.318758762624413
CD40,CD40,1472,-3.505,-3490,995.853,0.595,0,FALSE,-0.22548303427145,0.22548303427145
EIF3D,EIF3D,2701,-3.505,-3490,995.853,0.712,0,FALSE,-0.147520006363144,0.147520006363144
RALGDS,RALGDS,7116,-3.505,-3490,995.853,0.735,0,TRUE,-0.133712660915805,0.133712660915805
POLI,POLI,6618,-3.504,-3489,995.853,0.663,0,FALSE,-0.178486471595227,0.178486471595227
CCL13,CCL13,1391,-3.503,-3488,995.853,0.214,0,TRUE,-0.669586226650809,0.669586226650809
WIPF3,WIPF3,9958,-3.502,-3487.5,995.853,0.436,0,FALSE,-0.360513510731414,0.360513510731414
DDX19B,DDX19B,2271,-3.502,-3487,995.853,0.799,0,FALSE,-0.0974532206860086,0.0974532206860086
LRRK2,LRRK2,4812,-3.502,-3487,995.853,0.486,0,FALSE,-0.313363730737707,0.313363730737707
BTG1,BTG1,1016,-3.498,-3483,995.853,0.68,0,FALSE,-0.167491087293764,0.167491087293764
PIP4K2B,PIP4K2B,6434,-3.498,-3483,995.853,0.79,0,FALSE,-0.102372908709559,0.102372908709559
RORA,RORA,7478,-3.495,-3481,995.853,0.621,0,FALSE,-0.20690839982342,0.20690839982342
PISD,PISD,6441,-3.494,-3480,995.853,0.659,0,FALSE,-0.18111458540599,0.18111458540599
SLC27A3,SLC27A3,8097,-3.494,-3480,995.853,0.636,0,TRUE,-0.196542884351586,0.196542884351586
CASKIN2,CASKIN2,1275,-3.493,-3479,995.853,0.691,0,FALSE,-0.160521952625802,0.160521952625802
PCYT1B,PCYT1B,6184,-3.493,-3479,995.853,0.432,0,TRUE,-0.364516253185088,0.364516253185088
RANGRF,RANGRF,7129,-3.493,-3479,995.853,0.705,0,FALSE,-0.151810883008601,0.151810883008601
ARG2,ARG2,537,-3.49,-3476,995.853,0.707,0,FALSE,-0.150580586203101,0.150580586203101
DMXL1,DMXL1,2414,-3.49,-3476,995.853,0.665,0,FALSE,-0.177178354696895,0.177178354696895
KCNIP3,KCNIP3,4366,-3.489,-3475,995.853,0.56,0,FALSE,-0.2518119729938,0.2518119729938
CHRNE,CHRNE,1706,-3.488,-3474,995.853,0.617,0,FALSE,-0.209714835966758,0.209714835966758
CDC42EP5,CDC42EP5,1525,-3.487,-3473,995.853,0.491,0,FALSE,-0.308918507877032,0.308918507877032
IL18RAP,IL18RAP,4125,-3.486,-3472,995.853,0.435,0,FALSE,-0.361510743045363,0.361510743045363
SNAI2,SNAI2,8297,-3.482,-3468,995.853,0.55,0,FALSE,-0.259637310505756,0.259637310505756
STARD13,STARD13,8576,-3.48,-3466,995.853,0.62,0,FALSE,-0.207608310501746,0.207608310501746
RRAS,RRAS,7557,-3.479,-3465,995.853,0.543,0,FALSE,-0.265200170411153,0.265200170411153
ECE1,ECE1,2613,-3.478,-3464,995.853,0.684,0,FALSE,-0.164943898279884,0.164943898279884
EVI5,EVI5,2898,-3.478,-3464,995.853,0.73,0,FALSE,-0.136677139879544,0.136677139879544
HIBCH,HIBCH,3870,-3.478,-3464,995.853,0.696,0,FALSE,-0.157390760389438,0.157390760389438
LIMA1,LIMA1,4677,-3.478,-3464,995.853,0.642,0,FALSE,-0.192464971931147,0.192464971931147
PARD3,PARD3,6106,-3.476,-3462,995.853,0.7,0,FALSE,-0.154901959985743,0.154901959985743
NT5E,NT5E,5868,-3.475,-3461,995.853,0.493,0,FALSE,-0.30715308072277,0.30715308072277
TAF8,TAF8,8766,-3.473,-3459,995.853,0.785,0,FALSE,-0.105130343254747,0.105130343254747
ITGA10,ITGA10,4267,-3.471,-3457,995.853,0.388,0,TRUE,-0.411168274405793,0.411168274405793
ZSWIM7,ZSWIM7,10457,-3.471,-3457,995.853,0.726,0,FALSE,-0.139063379299906,0.139063379299906
CCDC80,CCDC80,1374,-3.47,-3456,995.853,0.399,0,TRUE,-0.399027104313252,0.399027104313252
BPI,BPI,970,-3.47,-3455.5,995.853,0.409,0,FALSE,-0.388276691992658,0.388276691992658
GBE1,GBE1,3426,-3.469,-3455,995.853,0.501,0,FALSE,-0.300162274132754,0.300162274132754
LIF,LIF,4673,-3.469,-3455,995.853,0.415,0,TRUE,-0.381951903287907,0.381951903287907
NEIL1,NEIL1,5644,-3.469,-3455,995.853,0.55,0,FALSE,-0.259637310505756,0.259637310505756
PRR5,PRR5,6850,-3.469,-3455,995.853,0.586,0,FALSE,-0.232102383981909,0.232102383981909
MAP3K6,MAP3K6,4938,-3.465,-3451,995.853,0.636,0,FALSE,-0.196542884351586,0.196542884351586
RNF39,RNF39,7449,-3.464,-3450,995.853,0.38,0,FALSE,-0.42021640338319,0.42021640338319
ATP9B,ATP9B,775,-3.463,-3449,995.853,0.736,0,FALSE,-0.133122185662501,0.133122185662501
EID1,EID1,2682,-3.463,-3449,995.853,0.729,0,FALSE,-0.137272471682025,0.137272471682025
PLA2G16,PLA2G16,6472,-3.463,-3449,995.853,0.407,0,TRUE,-0.39040559077478,0.39040559077478
DSCAML1,DSCAML1,2526,-3.461,-3447,995.853,0.395,0,FALSE,-0.40340290437354,0.40340290437354
WDR37,WDR37,9910,-3.46,-3446,995.853,0.738,0,FALSE,-0.131943638176958,0.131943638176958
CCDC28A,CCDC28A,1352,-3.459,-3445,995.853,0.734,0,FALSE,-0.134303940083929,0.134303940083929
DDX17,DDX17,2268,-3.459,-3445,995.853,0.716,0,FALSE,-0.145086977692144,0.145086977692144
STIM1,STIM1,8599,-3.459,-3445,995.853,0.739,0,FALSE,-0.131355561605174,0.131355561605174
LSM6,LSM6,4827,-3.458,-3444,995.853,0.747,0,TRUE,-0.126679398184601,0.126679398184601
MAVS,MAVS,5004,-3.455,-3441,995.853,0.709,0,FALSE,-0.149353764816933,0.149353764816933
SNX32,SNX32,8371,-3.454,-3439.5,995.853,0.499,0,FALSE,-0.30189945437661,0.30189945437661
PICALM,PICALM,6387,-3.453,-3439,995.853,0.748,0,FALSE,-0.126098402135539,0.126098402135539
ETS1,ETS1,2886,-3.45,-3436,995.853,0.6,0,FALSE,-0.221848749616356,0.221848749616356
ZSCAN12,ZSCAN12,10445,-3.45,-3436,995.853,0.622,0,FALSE,-0.206209615309181,0.206209615309181
ADD2,ADD2,208,-3.449,-3435,995.853,0.53,0,FALSE,-0.275724130399211,0.275724130399211
BRMS1L,BRMS1L,990,-3.442,-3428,995.853,0.784,0,FALSE,-0.105683937315562,0.105683937315562
GPX2,GPX2,3674,-3.442,-3428,995.853,0.251,0,FALSE,-0.600326278518962,0.600326278518962
CNBP,CNBP,1823,-3.44,-3426,995.853,0.822,0,FALSE,-0.0851281824599496,0.0851281824599496
HCFC2,HCFC2,3801,-3.44,-3426,995.853,0.727,0,FALSE,-0.138465589140962,0.138465589140962
UIMC1,UIMC1,9695,-3.438,-3424,995.853,0.804,0,FALSE,-0.0947439512515487,0.0947439512515487
PEBP4,PEBP4,6269,-3.438,-3423.5,995.853,0.311,0,FALSE,-0.507239610973163,0.507239610973163
C1R,C1R,1096,-3.432,-3418,995.853,0.514,0,FALSE,-0.289036881004724,0.289036881004724
TPCN2,TPCN2,9320,-3.432,-3418,995.853,0.778,0,FALSE,-0.109020403010311,0.109020403010311
FMN2,FMN2,3252,-3.431,-3417,995.853,0.375,0,FALSE,-0.425968732272281,0.425968732272281
KCNT1,KCNT1,4386,-3.431,-3417,995.853,0.626,0,FALSE,-0.20342566678957,0.20342566678957
CCDC102A,CCDC102A,1315,-3.43,-3416,995.853,0.582,0,FALSE,-0.235077015350112,0.235077015350112
STS,STS,8634,-3.427,-3413,995.853,0.531,0,FALSE,-0.274905478918531,0.274905478918531
TFE3,TFE3,8914,-3.425,-3411,995.853,0.669,0,FALSE,-0.174573882232177,0.174573882232177
DDX24,DDX24,2276,-3.42,-3406,995.853,0.819,0,FALSE,-0.0867160982395816,0.0867160982395816
FNDC3A,FNDC3A,3268,-3.42,-3406,995.853,0.717,0,FALSE,-0.1444808443322,0.1444808443322
ITPKB,ITPKB,4303,-3.42,-3406,995.853,0.702,0,FALSE,-0.153662887870195,0.153662887870195
PPP1R12C,PPP1R12C,6710,-3.42,-3406,995.853,0.658,0,FALSE,-0.181774106386044,0.181774106386044
PSIP1,PSIP1,6873,-3.419,-3405,995.853,0.708,0,FALSE,-0.149966742310231,0.149966742310231
RAB12,RAB12,7038,-3.419,-3405,995.853,0.733,0,FALSE,-0.134896025358872,0.134896025358872
MINK1,MINK1,5183,-3.418,-3404,995.853,0.761,0,FALSE,-0.118615343229427,0.118615343229427
WWP2,WWP2,9991,-3.418,-3404,995.853,0.803,0,FALSE,-0.095284454721319,0.095284454721319
GNAQ,GNAQ,3567,-3.417,-3403,995.853,0.711,0,TRUE,-0.148130399270234,0.148130399270234
GLIPR2,GLIPR2,3525,-3.416,-3402,995.853,0.571,0,FALSE,-0.243363891754152,0.243363891754152
FBXL3,FBXL3,3121,-3.415,-3401,995.853,0.709,0,FALSE,-0.149353764816933,0.149353764816933
MAFK,MAFK,4882,-3.413,-3399,995.853,0.64,0,FALSE,-0.193820026016113,0.193820026016113
LAMC3,LAMC3,4603,-3.412,-3398,995.853,0.287,0,FALSE,-0.542118103266008,0.542118103266008
ZYG11B,ZYG11B,10463,-3.412,-3398,995.853,0.745,0,FALSE,-0.127843727251707,0.127843727251707
SH3RF3,SH3RF3,7932,-3.411,-3397,995.853,0.573,0,TRUE,-0.24184537803261,0.24184537803261
VPS13C,VPS13C,9838,-3.409,-3395,995.853,0.656,0,FALSE,-0.18309616062434,0.18309616062434
SUPT3H,SUPT3H,8677,-3.408,-3394,995.853,0.702,0,FALSE,-0.153662887870195,0.153662887870195
STAB1,STAB1,8564,-3.405,-3391,995.853,0.507,0,FALSE,-0.294992040666664,0.294992040666664
APPL2,APPL2,512,-3.404,-3390,995.853,0.742,0,TRUE,-0.129596094720973,0.129596094720973
FSTL1,FSTL1,3321,-3.403,-3389,995.853,0.491,0,FALSE,-0.308918507877032,0.308918507877032
MLXIP,MLXIP,5213,-3.401,-3387,995.853,0.676,0,FALSE,-0.170053304058364,0.170053304058364
WDR11,WDR11,9895,-3.401,-3387,995.853,0.78,0,FALSE,-0.10790539730952,0.10790539730952
KATNA1,KATNA1,4349,-3.399,-3385,995.853,0.812,0,FALSE,-0.0904439707588247,0.0904439707588247
DNM3,DNM3,2463,-3.397,-3383,995.853,0.594,0,FALSE,-0.226213555018806,0.226213555018806
RNF130,RNF130,7409,-3.396,-3382,995.853,0.673,0,FALSE,-0.171984935776023,0.171984935776023
ABHD5,ABHD5,60,-3.395,-3381,995.853,0.686,0,FALSE,-0.163675884293248,0.163675884293248
ANKRD45,ANKRD45,423,-3.395,-3381,995.853,0.525,0,FALSE,-0.279840696594043,0.279840696594043
ANO5,ANO5,438,-3.395,-3381,995.853,0.253,0,TRUE,-0.596879478824182,0.596879478824182
UBE4B,UBE4B,9640,-3.394,-3380,995.853,0.791,0,FALSE,-0.101823516502323,0.101823516502323
IRX4,IRX4,4251,-3.394,-3379.5,995.853,0.25,0,FALSE,-0.602059991327962,0.602059991327962
KIF1B,KIF1B,4472,-3.393,-3379,995.853,0.681,0,FALSE,-0.166852888087215,0.166852888087215
ARL4C,ARL4C,602,-3.392,-3378,995.853,0.584,0,FALSE,-0.233587152887601,0.233587152887601
PRKCE,PRKCE,6801,-3.391,-3377,995.853,0.653,0,FALSE,-0.185086818724926,0.185086818724926
PTPRS,PTPRS,6980,-3.391,-3377,995.853,0.515,0,FALSE,-0.288192770958809,0.288192770958809
PTHLH,PTHLH,6942,-3.39,-3376,995.853,0.327,0,FALSE,-0.485452247339714,0.485452247339714
ACSS3,ACSS3,134,-3.387,-3373,995.853,0.388,0,FALSE,-0.411168274405793,0.411168274405793
FRG1,FRG1,3305,-3.386,-3372,995.853,0.799,0,FALSE,-0.0974532206860086,0.0974532206860086
S100A4,S100A4,7627,-3.386,-3372,995.853,0.451,0,TRUE,-0.345823458122039,0.345823458122039
LAMA4,LAMA4,4597,-3.383,-3369,995.853,0.488,0,FALSE,-0.311580177997289,0.311580177997289
BIN3,BIN3,932,-3.382,-3368,995.853,0.711,0,FALSE,-0.148130399270234,0.148130399270234
ZNF704,ZNF704,10394,-3.38,-3366,995.853,0.55,0,FALSE,-0.259637310505756,0.259637310505756
ELMO1,ELMO1,2737,-3.379,-3365,995.853,0.62,0,FALSE,-0.207608310501746,0.207608310501746
CHD2,CHD2,1667,-3.378,-3364,995.853,0.757,0,FALSE,-0.120904120499927,0.120904120499927
MCOLN3,MCOLN3,5045,-3.378,-3364,995.853,0.404,0,FALSE,-0.393618634889395,0.393618634889395
PLCB1,PLCB1,6489,-3.374,-3360,995.853,0.415,0,FALSE,-0.381951903287907,0.381951903287907
PPM1D,PPM1D,6694,-3.374,-3360,995.853,0.794,0,FALSE,-0.100179497572904,0.100179497572904
SLIT1,SLIT1,8234,-3.374,-3360,995.853,0.599,0,FALSE,-0.222573177610689,0.222573177610689
UGT8,UGT8,9689,-3.373,-3359.5,995.853,0.245,0,TRUE,-0.610833915635468,0.610833915635468
PAIP2B,PAIP2B,6069,-3.373,-3359,995.853,0.598,0,FALSE,-0.223298816011589,0.223298816011589
SERPINF1,SERPINF1,7845,-3.373,-3359,995.853,0.461,0,FALSE,-0.336299074610352,0.336299074610352
CACNA1G,CACNA1G,1204,-3.37,-3356,995.853,0.349,0,FALSE,-0.45717457304082,0.45717457304082
TBC1D15,TBC1D15,8800,-3.369,-3355,995.853,0.788,0,FALSE,-0.103473782510445,0.103473782510445
XDH,XDH,9996,-3.369,-3355,995.853,0.274,0,FALSE,-0.562249437179612,0.562249437179612
CNTN1,CNTN1,1850,-3.368,-3354,995.853,0.372,0,TRUE,-0.429457060118102,0.429457060118102
ATP2B4,ATP2B4,736,-3.365,-3351,995.853,0.558,0,FALSE,-0.253365801062421,0.253365801062421
NFRKB,NFRKB,5693,-3.364,-3350,995.853,0.742,0,FALSE,-0.129596094720973,0.129596094720973
GAB2,GAB2,3365,-3.358,-3344,995.853,0.595,0,FALSE,-0.22548303427145,0.22548303427145
UROD,UROD,9729,-3.358,-3344,995.853,0.755,0,FALSE,-0.122053048370812,0.122053048370812
MKLN1,MKLN1,5196,-3.357,-3343,995.853,0.767,0,FALSE,-0.115204636051019,0.115204636051019
ALDH4A1,ALDH4A1,323,-3.356,-3342,995.853,0.515,0,FALSE,-0.288192770958809,0.288192770958809
DIAPH2,DIAPH2,2374,-3.356,-3342,995.853,0.559,0,FALSE,-0.252588192113577,0.252588192113577
ERAP1,ERAP1,2832,-3.356,-3342,995.853,0.649,0,FALSE,-0.187755303199631,0.187755303199631
UVRAG,UVRAG,9784,-3.356,-3342,995.853,0.722,0,FALSE,-0.141462802430361,0.141462802430361
PDE8A,PDE8A,6217,-3.351,-3337,995.853,0.68,0,FALSE,-0.167491087293764,0.167491087293764
NR2C2,NR2C2,5828,-3.347,-3333,995.853,0.739,0,FALSE,-0.131355561605174,0.131355561605174
CD93,CD93,1496,-3.344,-3330,995.853,0.578,0,FALSE,-0.238072161579471,0.238072161579471
CFTR,CFTR,1644,-3.344,-3330,995.853,0.332,0,FALSE,-0.478861916295964,0.478861916295964
KBTBD6,KBTBD6,4356,-3.343,-3329,995.853,0.692,0,FALSE,-0.159893905543242,0.159893905543242
NR1D2,NR1D2,5823,-3.341,-3327,995.853,0.629,0,FALSE,-0.201349354554731,0.201349354554731
BTAF1,BTAF1,1003,-3.34,-3326,995.853,0.671,0,TRUE,-0.173277479831008,0.173277479831008
ICAM4,ICAM4,4040,-3.338,-3324.5,995.853,0.536,0,FALSE,-0.27083521030723,0.27083521030723
GTDC1,GTDC1,3723,-3.338,-3324,995.853,0.639,0,FALSE,-0.1944991418416,0.1944991418416
SBF1,SBF1,7671,-3.335,-3321,995.853,0.682,0,FALSE,-0.166215625343521,0.166215625343521
DYRK3,DYRK3,2590,-3.333,-3319,995.853,0.623,0,FALSE,-0.20551195334083,0.20551195334083
RPL10A,RPL10A,7490,-3.333,-3319,995.853,0.702,0,FALSE,-0.153662887870195,0.153662887870195
FAM69B,FAM69B,3051,-3.332,-3318,995.853,0.622,0,FALSE,-0.206209615309181,0.206209615309181
CIB2,CIB2,1723,-3.331,-3317,995.853,0.515,0,FALSE,-0.288192770958809,0.288192770958809
CGRRF1,CGRRF1,1649,-3.33,-3316,995.853,0.76,0,FALSE,-0.119186407719209,0.119186407719209
ZFYVE28,ZFYVE28,10180,-3.33,-3316,995.853,0.665,0,FALSE,-0.177178354696895,0.177178354696895
ACTR1B,ACTR1B,145,-3.329,-3315,995.853,0.801,0,FALSE,-0.0963674839157623,0.0963674839157623
ZFP28,ZFP28,10158,-3.328,-3314,995.853,0.652,0,FALSE,-0.18575240426808,0.18575240426808
PPP1R12A,PPP1R12A,6708,-3.327,-3313,995.853,0.753,0,FALSE,-0.123205023799299,0.123205023799299
CLK3,CLK3,1786,-3.325,-3311,995.853,0.807,0,FALSE,-0.0931264652779296,0.0931264652779296
JMY,JMY,4331,-3.325,-3311,995.853,0.72,0,FALSE,-0.142667503568732,0.142667503568732
MAT2B,MAT2B,4998,-3.325,-3311,995.853,0.791,0,FALSE,-0.101823516502323,0.101823516502323
GGT7,GGT7,3481,-3.324,-3310,995.853,0.583,0,FALSE,-0.234331445240986,0.234331445240986
RASSF6,RASSF6,7177,-3.323,-3309,995.853,0.38,0,TRUE,-0.42021640338319,0.42021640338319
FRAS1,FRAS1,3302,-3.322,-3308,995.853,0.385,0,FALSE,-0.414539270491499,0.414539270491499
HSF4,HSF4,3990,-3.322,-3308,995.853,0.534,0,FALSE,-0.272458742971444,0.272458742971444
TCF25,TCF25,8853,-3.322,-3308,995.853,0.759,0,FALSE,-0.11975822410452,0.11975822410452
FAM160B2,FAM160B2,2999,-3.321,-3307,995.853,0.738,0,FALSE,-0.131943638176958,0.131943638176958
ZNF699,ZNF699,10391,-3.321,-3307,995.853,0.658,0,FALSE,-0.181774106386044,0.181774106386044
ZDHHC14,ZDHHC14,10127,-3.32,-3306,995.853,0.64,0,FALSE,-0.193820026016113,0.193820026016113
MSX1,MSX1,5382,-3.319,-3305,995.853,0.484,0,TRUE,-0.315154638355588,0.315154638355588
NDUFS4,NDUFS4,5627,-3.319,-3305,995.853,0.749,0,FALSE,-0.125518182300534,0.125518182300534
TJAP1,TJAP1,9009,-3.319,-3305,995.853,0.807,0,FALSE,-0.0931264652779296,0.0931264652779296
GABARAPL2,GABARAPL2,3367,-3.318,-3304,995.853,0.797,0,FALSE,-0.0985416786038876,0.0985416786038876
ZNF789,ZNF789,10417,-3.317,-3303,995.853,0.692,0,FALSE,-0.159893905543242,0.159893905543242
MYO7A,MYO7A,5487,-3.316,-3302,995.853,0.483,0,FALSE,-0.316052869248488,0.316052869248488
CRYGS,CRYGS,2027,-3.314,-3300,995.853,0.578,0,FALSE,-0.238072161579471,0.238072161579471
NFKBIZ,NFKBIZ,5692,-3.313,-3299,995.853,0.385,0,FALSE,-0.414539270491499,0.414539270491499
AKAP13,AKAP13,290,-3.309,-3295,995.853,0.73,0,FALSE,-0.136677139879544,0.136677139879544
CCDC25,CCDC25,1351,-3.307,-3293,995.853,0.753,0,FALSE,-0.123205023799299,0.123205023799299
SOCS3,SOCS3,8383,-3.307,-3293,995.853,0.369,0,FALSE,-0.43297363384094,0.43297363384094
CCDC107,CCDC107,1317,-3.303,-3289,995.853,0.543,0,TRUE,-0.265200170411153,0.265200170411153
MAML3,MAML3,4902,-3.302,-3288,995.853,0.668,0,FALSE,-0.175223537524454,0.175223537524454
KCNK2,KCNK2,4369,-3.301,-3287,995.853,0.302,0,FALSE,-0.519993057042849,0.519993057042849
NDRG4,NDRG4,5599,-3.299,-3285,995.853,0.537,0,FALSE,-0.270025714300444,0.270025714300444
SLC26A10,SLC26A10,8089,-3.298,-3284,995.853,0.519,0,TRUE,-0.284832642151542,0.284832642151542
CBL,CBL,1301,-3.296,-3282,995.853,0.734,0,TRUE,-0.134303940083929,0.134303940083929
INPP5D,INPP5D,4185,-3.296,-3282,995.853,0.582,0,FALSE,-0.235077015350112,0.235077015350112
LPIN3,LPIN3,4747,-3.295,-3281,995.853,0.689,0,FALSE,-0.161780778092374,0.161780778092374
ABHD1,ABHD1,56,-3.294,-3280,995.853,0.505,0,FALSE,-0.296708621881339,0.296708621881339
MYLIP,MYLIP,5471,-3.293,-3279,995.853,0.714,0,FALSE,-0.146301788223826,0.146301788223826
FBLN7,FBLN7,3103,-3.292,-3278,995.853,0.536,0,FALSE,-0.27083521030723,0.27083521030723
AGTPBP1,AGTPBP1,263,-3.291,-3277,995.853,0.731,0,FALSE,-0.13608262304214,0.13608262304214
AQP5,AQP5,518,-3.291,-3277,995.853,0.156,0,FALSE,-0.806875401645538,0.806875401645538
MXD4,MXD4,5443,-3.29,-3276,995.853,0.673,0,FALSE,-0.171984935776023,0.171984935776023
CHGA,CHGA,1679,-3.288,-3274,995.853,0.484,0,FALSE,-0.315154638355588,0.315154638355588
PYGO1,PYGO1,7012,-3.288,-3274,995.853,0.506,0,FALSE,-0.295849483160201,0.295849483160201
CACNA1C,CACNA1C,1202,-3.287,-3273,995.853,0.556,0,TRUE,-0.254925208417942,0.254925208417942
FLT3LG,FLT3LG,3245,-3.287,-3273,995.853,0.585,0,TRUE,-0.23284413391782,0.23284413391782
SNTA1,SNTA1,8346,-3.287,-3273,995.853,0.553,0,FALSE,-0.257274868695302,0.257274868695302
SNX15,SNX15,8356,-3.287,-3273,995.853,0.748,0,FALSE,-0.126098402135539,0.126098402135539
EPS15,EPS15,2826,-3.285,-3271,995.853,0.773,0,FALSE,-0.111820506081675,0.111820506081675
KDM6B,KDM6B,4420,-3.285,-3271,995.853,0.731,0,FALSE,-0.13608262304214,0.13608262304214
EXOC3,EXOC3,2908,-3.283,-3269,995.853,0.812,0,TRUE,-0.0904439707588247,0.0904439707588247
ZRANB2,ZRANB2,10443,-3.281,-3267,995.853,0.753,0,FALSE,-0.123205023799299,0.123205023799299
CHPT1,CHPT1,1697,-3.279,-3265,995.853,0.602,0,FALSE,-0.220403508742175,0.220403508742175
JAG1,JAG1,4316,-3.279,-3265,995.853,0.676,0,FALSE,-0.170053304058364,0.170053304058364
WNT5B,WNT5B,9976,-3.277,-3263,995.853,0.489,0,FALSE,-0.31069114087638,0.31069114087638
AKIRIN2,AKIRIN2,299,-3.276,-3262.5,995.853,0.769,0,FALSE,-0.114073660198569,0.114073660198569
DENND3,DENND3,2310,-3.274,-3260,995.853,0.69,0,FALSE,-0.161150909262745,0.161150909262745
EEA1,EEA1,2633,-3.27,-3256,995.853,0.715,0,FALSE,-0.145693958198919,0.145693958198919
LYRM1,LYRM1,4854,-3.27,-3256,995.853,0.714,0,FALSE,-0.146301788223826,0.146301788223826
RASSF4,RASSF4,7175,-3.27,-3256,995.853,0.571,0,FALSE,-0.243363891754152,0.243363891754152
WWTR1,WWTR1,9992,-3.27,-3256,995.853,0.658,0,TRUE,-0.181774106386044,0.181774106386044
RPS14,RPS14,7523,-3.268,-3254,995.853,0.69,0,FALSE,-0.161150909262745,0.161150909262745
CHURC1,CHURC1,1719,-3.267,-3253,995.853,0.727,0,FALSE,-0.138465589140962,0.138465589140962
NRBF2,NRBF2,5837,-3.267,-3253,995.853,0.808,0,FALSE,-0.0925886392254138,0.0925886392254138
RIPK4,RIPK4,7379,-3.266,-3252,995.853,0.679,0,FALSE,-0.168130225719498,0.168130225719498
ZNF592,ZNF592,10351,-3.264,-3250,995.853,0.798,0,TRUE,-0.0979971086492706,0.0979971086492706
ACAT1,ACAT1,92,-3.261,-3247,995.853,0.613,0,FALSE,-0.212539525481585,0.212539525481585
DDB2,DDB2,2254,-3.26,-3246,995.853,0.712,0,FALSE,-0.147520006363144,0.147520006363144
ADORA2B,ADORA2B,219,-3.258,-3244.5,995.853,0.515,0,FALSE,-0.288192770958809,0.288192770958809
SLC35B4,SLC35B4,8133,-3.258,-3244,995.853,0.727,0,TRUE,-0.138465589140962,0.138465589140962
GKAP1,GKAP1,3509,-3.257,-3243,995.853,0.654,0,FALSE,-0.184422251675733,0.184422251675733
CCDC88A,CCDC88A,1380,-3.254,-3241,995.853,0.63,0,TRUE,-0.200659450546418,0.200659450546418
PIK3CA,PIK3CA,6416,-3.253,-3240,995.853,0.711,0,FALSE,-0.148130399270234,0.148130399270234
RSL24D1,RSL24D1,7578,-3.253,-3239.5,995.853,0.762,0,FALSE,-0.118045028660399,0.118045028660399
MAP3K14,MAP3K14,4933,-3.252,-3239,995.853,0.629,0,FALSE,-0.201349354554731,0.201349354554731
NCK1,NCK1,5568,-3.252,-3239,995.853,0.82,0,FALSE,-0.0861861476162833,0.0861861476162833
AIG1,AIG1,280,-3.251,-3238,995.853,0.713,0,FALSE,-0.146910470148134,0.146910470148134
DCLK1,DCLK1,2227,-3.251,-3238,995.853,0.412,0,TRUE,-0.385102783966865,0.385102783966865
